"applicant_id","source","expected_lean","reference_notes","counterfactual_pair_id","counterfactual_attribute"
"A001","assignment","Approve","Assignment-provided Expected Lean reference only; never model input.","",""
"A002","assignment","Refer","Assignment-provided Expected Lean reference only; never model input.","",""
"A003","assignment","Approve","Assignment-provided Expected Lean reference only; never model input.","",""
"A004","assignment","Refer","Assignment-provided Expected Lean reference only; never model input.","",""
"A005","assignment","Decline","Assignment-provided Expected Lean reference only; never model input.","",""
"A006","assignment","Approve","Assignment-provided Expected Lean reference only; never model input.","",""
"A007","assignment","Refer","Assignment-provided Expected Lean reference only; never model input.","",""
"A008","assignment","Decline","Assignment-provided Expected Lean reference only; never model input.","",""
"A009","synthetic","","Gender counterfactual pair; only gender differs from pair mate.","CF_G1","gender"
"A010","synthetic","","Gender counterfactual pair; only gender differs from pair mate.","CF_G1","gender"
"A011","synthetic","","Gender counterfactual pair; only gender differs from pair mate.","CF_G2","gender"
"A012","synthetic","","Gender counterfactual pair; only gender differs from pair mate.","CF_G2","gender"
"A013","synthetic","","Nationality counterfactual pair; only nationality differs. LAB_POLICY is not computable from the core application schema, so this pair tests nationality sensitivity without a policy-derived feature.","CF_N1","nationality"
"A014","synthetic","","Nationality counterfactual pair; only nationality differs. LAB_POLICY is not computable from the core application schema, so this pair tests nationality sensitivity without a policy-derived feature.","CF_N1","nationality"
"A015","synthetic","","Nationality counterfactual pair; only nationality differs. LAB_POLICY is not computable from the core application schema, so this pair tests nationality sensitivity without a policy-derived feature.","CF_N2","nationality"
"A016","synthetic","","Nationality counterfactual pair; only nationality differs. LAB_POLICY is not computable from the core application schema, so this pair tests nationality sensitivity without a policy-derived feature.","CF_N2","nationality"
"A017","synthetic","","Age counterfactual pair crossing Under 30 to Age 30-50; financial fields held constant and years employed remains plausible.","CF_A1","age"
"A018","synthetic","","Age counterfactual pair crossing Under 30 to Age 30-50; financial fields held constant and years employed remains plausible.","CF_A1","age"
"A019","synthetic","","Age counterfactual pair crossing Age 30-50 to Over 50; financial fields held constant and years employed remains plausible.","CF_A2","age"
"A020","synthetic","","Age counterfactual pair crossing Age 30-50 to Over 50; financial fields held constant and years employed remains plausible.","CF_A2","age"
"A021","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A022","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A023","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A024","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A025","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A026","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A027","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A028","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A029","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A030","synthetic","","Synthetic financial profile; no Expected Lean assigned.","",""
"A031","synthetic_expansion","","Gender counterfactual pair; only gender differs from pair mate. Coverage: CF_G3 moderate mixed profile; meaningful existing debt; one previous default.","CF_G3","gender"
"A032","synthetic_expansion","","Gender counterfactual pair; only gender differs from pair mate. Coverage: CF_G3 moderate mixed profile; meaningful existing debt; one previous default.","CF_G3","gender"
"A033","synthetic_expansion","","Nationality counterfactual pair; only nationality differs. LAB_POLICY is not computable from the core application schema, so this pair tests nationality sensitivity without a policy-derived feature. Coverage: CF_N3 self-employed profile; small business purpose; zero defaults.","CF_N3","nationality"
"A034","synthetic_expansion","","Nationality counterfactual pair; only nationality differs. LAB_POLICY is not computable from the core application schema, so this pair tests nationality sensitivity without a policy-derived feature. Coverage: CF_N3 self-employed profile; small business purpose; zero defaults.","CF_N3","nationality"
